Rank,Name,State,Population,2010 Census,Change,2018 Density,
1,New York,New York,"8,580,015","8,537,673","8,175,133",0.25%,"11,029/km?"
2,Los Angeles,California,"4,030,668","3,976,322","3,792,621",0.68%,"3,321/km?"
3,Chicago,Illinois,"2,687,682","2,704,958","2,695,598",-0.32%,"4,565/km?"
4,Houston,Texas,"2,340,814","2,303,482","2,099,451",0.80%,"1,420/km?"
5,Phoenix,Arizona,"1,679,243","1,615,017","1,445,632",1.95%,"1,252/km?"
6,Philadelphia,Pennsylvania,"1,573,688","1,567,872","1,526,006",0.19%,"4,528/km?"
7,San Antonio,Texas,"1,541,456","1,492,510","1,327,407",1.61%,"1,291/km?"
8,San Diego,California,"1,438,060","1,406,630","1,307,402",1.10%,"1,710/km?"
9,Dallas,Texas,"1,359,133","1,317,929","1,197,816",1.54%,"1,544/km?"
10,San Jose,California,"1,030,796","1,025,350","945,942",0.26%,"2,242/km?"
11,Austin,Texas,"983,366","947,890","790,390",1.84%,"1,184/km?"
12,Jacksonville,Florida,"907,529","880,619","821,784",1.50%,469/km?
14,Fort Worth,Texas,"893,997","854,113","741,206",2.28%,"1,001/km?"
13,San Francisco,California,"888,653","870,887","805,235",1.01%,"7,315/km?"
15,Columbus,Ohio,"880,182","860,090","787,033",1.15%,"1,555/km?"
17,Charlotte,North Carolina,"873,363","842,051","731,424",1.83%,"1,101/km?"
16,Indianapolis,Indiana,"860,902","855,164","820,445",0.33%,920/km?
18,Seattle,Washington,"746,046","704,352","608,660",2.87%,"3,436/km?"
19,Denver,Colorado,"719,116","693,060","600,158",1.85%,"1,811/km?"
20,Washington Dc Dc,District Of Columbia,"702,756","681,170","601,723",1.56%,"4,438/km?"
21,El Paso,Texas,"692,100","683,080","649,121",0.66%,"1,038/km?"
22,Boston,Massachusetts,"687,584","673,184","617,594",1.06%,"5,491/km?"
24,Nashville,Tennessee,"673,008","660,388","601,222",0.95%,546/km?
23,Detroit,Michigan,"665,713","672,795","713,777",-0.53%,"1,853/km?"
