,State,Highest elevation(ft),Mean elevation(ft),Elevation difference(ft)
0,Alabama,2413,500,2413
1,Alaska,20320,1900,20320
2,Arizona,12637,4100,12567
3,Arkansas,2753,650,2698
4,California,14505,2900,14776
5,Colorado,14440,6800,11125
6,Connecticut,2380,500,2380
7,Delaware,448,60,448
8,District of Columbia,410,150,409
9,Florida,345,100,345
10,Georgia,4784,600,4784
11,Hawaii,13796,3030,13796
12,Idaho,12662,5000,11952
13,Illinois,1235,600,956
14,Indiana,1257,700,937
15,Iowa,1670,1100,1190
16,Kansas,4039,2000,3360
17,Kentucky,4145,750,3888
18,Louisiana,535,100,543
19,Maine,5267,600,5267
20,Maryland,3360,350,3360
21,Massachusetts,3487,500,3487
22,Michigan,1979,900,1408
23,Minnesota,2301,1200,1700
24,Mississippi,806,300,806
25,Missouri,1772,800,1542
26,Montana,12799,3400,10999
27,Nebraska,5424,2600,4584
28,Nevada,13140,5500,12661
29,New Hampshire,6288,1000,6288
30,New Jersey,1803,250,1803
31,New Mexico,13161,5700,10319
32,New York,5344,1000,5344
33,North Carolina,6684,700,6684
34,North Dakota,3506,1900,2756
35,Ohio,1549,850,1094
36,Oklahoma,4973,1300,4684
37,Oregon,11249,3300,11249
38,Pennsylvania,3213,1100,3213
39,Rhode Island,812,350,812
40,South Carolina,3560,350,3560
41,South Dakota,7242,2200,6276
42,Tennessee,6643,900,6465
43,Texas,8749,1700,8749
44,Utah,13528,6100,11528
45,Vermont,4393,1000,4298
46,Virginia,5729,950,5729
47,Washington,14410,1700,14410
48,West Virginia,4861,1500,4621
49,Wisconsin,1951,1050,1372
50,Wyoming,13804,6700,10705
