,Unnamed: 0,Year,Mileage,City,State,Vehicle Type,serviceTime,DepreciationRate,Gdp,Population
0,249159,2011,52080,MADISON, TN,Sedan,7,0.42195555555555553,49853,1417
1,354836,2016,38893,JACKSONVILLE, FL,SUV,2,0.5601006711409396,3937,14910
2,6392,2015,20103,MIAMI, FL,SUV,3,0.861050638902035,344881,13212
3,186363,2010,48885,CONWAY, AR,SUV,8,0.3642258064516129,38874,23714
4,235911,2013,42177,RICHMOND, VA,SUV,5,0.48354838709677417,24395,12064
5,110724,2012,35497,LANCASTER, OH,Truck,6,0.6780104712041884,28937,331
6,241094,2015,9109,COLUMBIA, SC,Truck,3,0.9424083769633508,192177,2031
7,93665,2014,64947,COLUMBIA, KY,Truck,4,0.8586387434554974,192177,4881
8,325283,2014,42092,COLUMBUS, OH,Truck,4,0.832434554973822,13820,4065
9,139840,2010,92503,KNOXVILLE, TN,SUV,8,0.3284228187919463,41459,7181
10,232676,2012,86377,COLUMBIA, SC,SUV,6,0.38048387096774194,192177,9044
11,122139,2012,48257,WILMINGTON, OH,Truck,6,0.523324607329843,444975,119045
12,27354,2015,29484,READING, PA,Sedan,3,0.6192888888888889,18679,10260
13,19128,2009,85813,AURORA, CO,SUV,9,0.43823946994794133,208868,3703
14,8208,2011,70557,LINCOLN, NE,SUV,7,0.9235157782135853,20245,284736
15,144839,2014,43931,ROCHESTER, MN,Sedan,4,0.4089049716803021,12567,208046
16,65677,2004,117035,VERNON, CT,Sedan,14,0.2182380779031671,6643,113
17,116266,2017,22,PHOENIX, AZ,Sedan,1,0.8526392428103385,242950,1626078
18,33128,2014,8073,ALEXANDRIA, VA,SUV,4,0.9288531314087396,5991,5015
19,148710,2014,33774,DECATUR, IL,Truck,4,0.9222654561175962,5466,23832
20,35673,2015,9982,FARMINGTON, NM,Sedan,3,0.5347702957835117,6360,23067
21,20185,2012,132524,AURORA, CO,Truck,6,0.6175392670157068,208868,7481
22,37590,2014,41322,FRANKLIN, TN,SUV,4,0.9763369616658779,133251,6137
23,284600,2013,120085,GREENVILLE, TX,Truck,5,0.6030467571644043,8216,7632
24,301818,2009,125483,AUSTIN, TX,Truck,9,0.49476439790575916,148750,3282
25,215192,2014,38170,SAN ANTONIO, TX,Sedan,4,0.42451227186910007,129298,1511946
26,166744,2011,83604,COLUMBIA, CT,SUV,7,0.418489932885906,192177,141
27,360543,2014,45122,HENDERSON, NV,Sedan,4,0.4893061224489796,112288,13300
28,137916,2017,1789,AUBURN, AL,Sedan,1,0.5976400251730648,5484,4710
29,115765,2014,51642,TUCSON, AZ,Sedan,4,0.4247640025173065,39033,535677
30,137718,2015,35475,AUGUSTA, ME,Truck,3,0.9157068062827225,24395,9389
31,174532,2008,107702,GREENVILLE, SC,SUV,10,0.48572330020507964,8216,6761
32,223044,2015,45814,BELLEVUE, WA,Sedan,3,0.6550782672005825,356572,4424
33,130746,2011,72673,HOUSTON, TX,SUV,7,0.3859060402684564,490074,960
34,133610,2004,155310,PARKER, CO,SUV,14,0.23647262975232686,4277,4610
35,297121,2009,59313,PORTLAND, OR,SUV,9,0.7648422178641469,32143,3922
36,71628,2017,9601,BALTIMORE, MD,Sedan,1,0.8866222222222222,192177,611648
37,293012,2002,192124,DOVER, DE,Truck,16,0.3874651810584958,7337,12766
38,18750,2016,37764,LANSING, MI,SUV,2,0.7871588578640164,22561,11947
39,259146,2014,30515,CHARLOTTE, NC,Sedan,4,0.6550782672005825,174029,9057
40,338150,2015,43414,SPRINGFIELD, NJ,Sedan,3,0.46532410320956574,10250,5197
41,359071,2014,13988,JACKSONVILLE, FL,Sedan,4,0.49777777777777776,3937,14910
42,80076,2008,126284,AUBURN, MA,Truck,10,0.5124283559577677,5484,13997
43,153733,2010,71968,AURORA, MO,Sedan,8,0.4364761558063342,208868,1020
44,61273,2014,42103,FRANKLIN, TN,SUV,4,0.9148130619971604,133251,919
45,86676,2016,34215,COLUMBIA, MO,SUV,2,0.6191275167785235,192177,121717
46,202911,2013,29056,MODESTO, CA,Sedan,5,0.4689387755102041,20659,214221
47,344091,2015,36196,FAIRFIELD, OH,Sedan,3,0.5783036039315617,21421,116266
48,198758,2007,100671,NORFOLK, VA,Sedan,11,0.1998888888888889,94855,244703
49,194649,2014,24111,HUNTINGTON, WV,Truck,4,0.8190517365614642,15218,17084
50,268556,2017,1241,LINCOLN, NE,Sedan,1,0.8352748452857663,20245,1181
