,Price,Year,Mileage,City,State,Make,Model,Original Price,Vehicle Type,serviceTime,DepreciationRate,Gdp,Population
0,15893,2015,30608,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,3,0.5000943989930774,490074,"2,340,814"
1,13950,2015,95099,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,3,0.43895531780994335,490074,"2,340,814"
2,29900,2015,24384,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.7827225130890052,490074,"2,340,814"
3,26505,2014,42980,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.693848167539267,490074,"2,340,814"
4,16400,2017,25446,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,1,0.5160478288231592,490074,"2,340,814"
5,18991,2014,33658,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,4,0.5975770925110132,490074,"2,340,814"
6,34000,2014,63120,HOUSTON, TX,GMC,SIERRA,35900,Truck,4,0.947075208913649,490074,"2,340,814"
7,27988,2014,30321,HOUSTON, TX,GMC,SIERRA,35900,Truck,4,0.7796100278551532,490074,"2,340,814"
8,17986,2015,21448,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,3,0.6547506370586094,490074,"2,340,814"
9,24977,2014,29344,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.653848167539267,490074,"2,340,814"
10,34459,2015,94129,HOUSTON, TX,FORD,F-1504WD,34695,Truck,3,0.9931978671278282,490074,"2,340,814"
11,14225,2016,36317,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.44760855884203904,490074,"2,340,814"
12,9999,2004,167182,HOUSTON, TX,JEEP,GRAND,31695,SUV,14,0.31547562707051585,490074,"2,340,814"
13,15995,2014,40576,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,4,0.5033039647577092,490074,"2,340,814"
14,15449,2015,34834,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,3,0.48612334801762114,490074,"2,340,814"
15,15995,2008,83493,HOUSTON, TX,FORD,F-1504WD,34695,Truck,10,0.4610174376711342,490074,"2,340,814"
16,9499,2008,115338,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,10,0.3457954131780124,490074,"2,340,814"
17,30789,2014,32943,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.8059947643979057,490074,"2,340,814"
18,12995,2013,90214,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,5,0.4730615216599927,490074,"2,340,814"
19,29988,2014,83803,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.7850261780104713,490074,"2,340,814"
20,21493,2017,36715,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,1,0.7824171823807791,490074,"2,340,814"
21,25884,2013,35832,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,5,0.6775916230366492,490074,"2,340,814"
22,12491,2010,71120,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,8,0.45471423370950126,490074,"2,340,814"
23,24525,2011,123507,HOUSTON, TX,GMC,SIERRA,35900,Truck,7,0.6831476323119777,490074,"2,340,814"
24,32998,2014,43840,HOUSTON, TX,GMC,SIERRA,35900,Truck,4,0.9191643454038997,490074,"2,340,814"
25,21500,2015,37699,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,3,0.7826720058245359,490074,"2,340,814"
26,4495,2004,141014,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,14,0.16363305424099017,490074,"2,340,814"
27,28488,2016,16976,HOUSTON, TX,GMC,SIERRA,35900,Truck,2,0.7935376044568245,490074,"2,340,814"
28,19980,2011,60275,HOUSTON, TX,BMW,3,45000,Sedan,7,0.444,490074,"2,340,814"
29,28990,2014,30662,HOUSTON, TX,JEEP,GRAND,31695,SUV,4,0.9146553084082663,490074,"2,340,814"
30,34950,2014,34226,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.9149214659685864,490074,"2,340,814"
31,17500,2014,43538,HOUSTON, TX,HYUNDAI,SANTA,29800,SUV,4,0.587248322147651,490074,"2,340,814"
32,23987,2011,101600,HOUSTON, TX,FORD,F-1504WD,34695,Truck,7,0.6913676322236634,490074,"2,340,814"
33,22995,2011,41594,HOUSTON, TX,BMW,3,45000,Sedan,7,0.511,490074,"2,340,814"
34,34995,2016,30302,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,2,0.9160994764397906,490074,"2,340,814"
35,6994,2010,124246,HOUSTON, TX,CHEVROLET,EQUINOXFWD,31000,SUV,8,0.22561290322580646,490074,"2,340,814"
36,29788,2014,45031,HOUSTON, TX,FORD,F-1504WD,34695,Truck,4,0.8585675169332757,490074,"2,340,814"
37,21788,2017,16063,HOUSTON, TX,CHEVROLET,EQUINOXFWD,31000,SUV,1,0.7028387096774193,490074,"2,340,814"
38,33132,2015,36175,HOUSTON, TX,FORD,F-1504WD,34695,Truck,3,0.95495028102032,490074,"2,340,814"
39,28998,2014,47240,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.7591099476439791,490074,"2,340,814"
40,18990,2016,34595,HOUSTON, TX,CHEVROLET,EQUINOXFWD,31000,SUV,2,0.6125806451612903,490074,"2,340,814"
41,21200,2015,28004,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,3,0.7717510010921005,490074,"2,340,814"
42,33995,2017,5006,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,1,0.8899214659685863,490074,"2,340,814"
43,28999,2016,26904,HOUSTON, TX,JEEP,GRAND,31695,SUV,2,0.9149392648682757,490074,"2,340,814"
44,20944,2014,33651,HOUSTON, TX,HYUNDAI,SANTA,29800,SUV,4,0.7028187919463087,490074,"2,340,814"
45,3990,2006,118155,HOUSTON, TX,VOLKSWAGEN,JETTA,24500,Sedan,12,0.16285714285714287,490074,"2,340,814"
46,28000,2014,41370,HOUSTON, TX,JEEP,GRAND,31695,SUV,4,0.8834200978072251,490074,"2,340,814"
47,34686,2014,52355,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.9080104712041884,490074,"2,340,814"
48,10991,2014,26183,HOUSTON, TX,VOLKSWAGEN,JETTA,24500,Sedan,4,0.4486122448979592,490074,"2,340,814"
49,9659,2012,105861,HOUSTON, TX,CHEVROLET,EQUINOXFWD,31000,SUV,6,0.3115806451612903,490074,"2,340,814"
50,12295,2010,22898,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,8,0.3218586387434555,490074,"2,340,814"
51,13488,2014,45550,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,4,0.4244178728760227,490074,"2,340,814"
52,31500,2015,24866,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.824607329842932,490074,"2,340,814"
53,19700,2017,17377,HOUSTON, TX,HYUNDAI,SANTA,29800,SUV,1,0.6610738255033557,490074,"2,340,814"
54,33000,2015,18273,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.8638743455497382,490074,"2,340,814"
55,22995,2010,32163,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,8,0.6019633507853404,490074,"2,340,814"
56,11500,2011,87654,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,7,0.4186385147433564,490074,"2,340,814"
57,18500,2015,11136,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,3,0.673461958500182,490074,"2,340,814"
58,15995,2008,145966,HOUSTON, TX,GMC,SIERRA,35900,Truck,10,0.4455431754874652,490074,"2,340,814"
59,26988,2017,13891,HOUSTON, TX,JEEP,GRAND,31695,SUV,1,0.8514907714150497,490074,"2,340,814"
60,30995,2017,22121,HOUSTON, TX,JEEP,GRAND,31695,SUV,1,0.9779144975548194,490074,"2,340,814"
61,29598,2013,48975,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,5,0.7748167539267016,490074,"2,340,814"
62,32781,2015,34001,HOUSTON, TX,GMC,SIERRA,35900,Truck,3,0.9131197771587743,490074,"2,340,814"
63,30605,2015,26911,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.8011780104712042,490074,"2,340,814"
64,21000,2015,26856,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,3,0.7644703312704769,490074,"2,340,814"
65,23944,2012,67559,HOUSTON, TX,JEEP,WRANGLER,28045,SUV,6,0.85377072561954,490074,"2,340,814"
66,34986,2015,48510,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.9158638743455497,490074,"2,340,814"
67,28990,2014,62173,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.7589005235602094,490074,"2,340,814"
68,23400,2014,21022,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,4,0.8518383691299599,490074,"2,340,814"
69,22097,2014,40168,HOUSTON, TX,BMW,3,45000,Sedan,4,0.49104444444444445,490074,"2,340,814"
70,35500,2016,20250,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,2,0.9293193717277487,490074,"2,340,814"
71,17995,2016,10389,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.5662366268093141,490074,"2,340,814"
72,14991,2016,10062,HOUSTON, TX,VOLKSWAGEN,JETTA,24500,Sedan,2,0.6118775510204082,490074,"2,340,814"
73,19995,2017,7607,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,1,0.7278849654168184,490074,"2,340,814"
74,17900,2006,98770,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,12,0.468586387434555,490074,"2,340,814"
75,34883,2016,19075,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,2,0.9131675392670157,490074,"2,340,814"
76,21995,2010,108969,HOUSTON, TX,GMC,SIERRA,35900,Truck,8,0.6126740947075209,490074,"2,340,814"
77,16911,2016,18243,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.5321271239773443,490074,"2,340,814"
78,18999,2016,6055,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.5978288231592196,490074,"2,340,814"
79,27986,2016,24177,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,2,0.7326178010471204,490074,"2,340,814"
80,19985,2014,63528,HOUSTON, TX,BMW,3,45000,Sedan,4,0.4441111111111111,490074,"2,340,814"
81,15495,2013,59823,HOUSTON, TX,HYUNDAI,SANTA,29800,SUV,5,0.5199664429530201,490074,"2,340,814"
82,14995,2013,106605,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,5,0.5458682198762286,490074,"2,340,814"
83,12888,2005,109540,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,13,0.3373821989528796,490074,"2,340,814"
84,25478,2015,82105,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,3,0.6669633507853403,490074,"2,340,814"
85,17500,2014,34425,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,4,0.637058609392064,490074,"2,340,814"
86,18900,2006,190668,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,12,0.49476439790575916,490074,"2,340,814"
87,19588,2012,126244,HOUSTON, TX,GMC,SIERRA,35900,Truck,6,0.5456267409470752,490074,"2,340,814"
88,12921,2015,54005,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,3,0.4065764631843927,490074,"2,340,814"
89,14991,2011,82697,HOUSTON, TX,JEEP,GRAND,31695,SUV,7,0.47297681022243254,490074,"2,340,814"
90,19397,2015,22065,HOUSTON, TX,CHEVROLET,EQUINOXFWD,31000,SUV,3,0.6257096774193548,490074,"2,340,814"
91,17495,2014,29065,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,4,0.6368765926465235,490074,"2,340,814"
92,19994,2015,46045,HOUSTON, TX,BMW,3,45000,Sedan,3,0.4443111111111111,490074,"2,340,814"
93,21491,2011,36560,HOUSTON, TX,BMW,3,45000,Sedan,7,0.47757777777777777,490074,"2,340,814"
94,13495,2008,120427,HOUSTON, TX,HYUNDAI,SANTA,29800,SUV,10,0.4528523489932886,490074,"2,340,814"
95,20986,2015,38624,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,3,0.7639606843829633,490074,"2,340,814"
96,33998,2014,19793,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.89,490074,"2,340,814"
97,23398,2011,56978,HOUSTON, TX,FORD,F-1504WD,34695,Truck,7,0.6743911226401499,490074,"2,340,814"
98,14900,2015,30984,HOUSTON, TX,VOLKSWAGEN,JETTA,24500,Sedan,3,0.6081632653061224,490074,"2,340,814"
99,18752,2017,8815,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,1,0.5900566393958464,490074,"2,340,814"
100,8988,2011,90610,HOUSTON, TX,VOLKSWAGEN,JETTA,24500,Sedan,7,0.3668571428571429,490074,"2,340,814"
101,14588,2016,53278,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.4590308370044053,490074,"2,340,814"
102,15595,2016,41190,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.4907174323473883,490074,"2,340,814"
103,28996,2014,46687,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,4,0.7590575916230367,490074,"2,340,814"
104,15200,2016,38297,HOUSTON, TX,NISSAN,ALTIMA2.5,31780,Sedan,2,0.47828823159219636,490074,"2,340,814"
105,15993,2014,32982,HOUSTON, TX,HONDA,ACCORD,27470,Sedan,4,0.5821987622861303,490074,"2,340,814"
106,14999,2003,121723,HOUSTON, TX,CHEVROLET,SILVERADO,38200,Truck,15,0.39264397905759163,490074,"2,340,814"
107,17788,2015,30033,HOUSTON, TX,CHEVROLET,EQUINOXFWD,31000,SUV,3,0.5738064516129032,490074,"2,340,814"
108,28444,2015,33909,HOUSTON, TX,JEEP,GRAND,31695,SUV,3,0.8974286165010253,490074,"2,340,814"
109,28988,2015,35685,HOUSTON, TX,JEEP,GRAND,31695,SUV,3,0.9145922069727086,490074,"2,340,814"
110,18488,2014,12161,HOUSTON, TX,VOLKSWAGEN,JETTA,24500,Sedan,4,0.7546122448979592,490074,"2,340,814"
