"","Manufacturer","Sales.in.thousands","X4.year.resale.value","Popularity","MSRP"
"1","Acura        ",16.919,"16.36",NA,NA
"2","Acura        ",39.384,"19.875",NA,NA
"3","Acura        ",14.114,"18.225",NA,NA
"4","Acura        ",8.588,"29.725",NA,NA
"5","Audi         ",20.397,"22.255",NA,NA
"6","Audi         ",18.78,"23.555",NA,NA
"7","Audi         ",1.38,"39",NA,NA
"8","BMW          ",19.747,".",NA,NA
"9","BMW          ",9.231,"28.675",NA,NA
"10","BMW          ",17.527,"36.125",NA,NA
"11","Buick        ",91.561,"12.475",NA,NA
"12","Buick        ",39.35,"13.74",NA,NA
"13","Buick        ",27.851,"20.19",NA,NA
"14","Buick        ",83.257,"13.36",NA,NA
"15","Cadillac     ",63.729,"22.525",NA,NA
"16","Cadillac     ",15.943,"27.1",NA,NA
"17","Cadillac     ",6.536,"25.725",NA,NA
"18","Cadillac     ",11.185,"18.225",NA,NA
"19","Cadillac     ",14.785,".",NA,NA
"20","Chevrolet    ",145.519,"9.25",NA,NA
"21","Chevrolet    ",135.126,"11.225",NA,NA
"22","Chevrolet    ",24.629,"10.31",NA,NA
"23","Chevrolet    ",42.593,"11.525",NA,NA
"24","Chevrolet    ",26.402,"13.025",NA,NA
"25","Chevrolet    ",17.947,"36.225",NA,NA
"26","Chevrolet    ",32.299,"9.125",NA,NA
"27","Chevrolet    ",21.855,"5.16",NA,NA
"28","Chevrolet    ",107.995,".",NA,NA
"29","Chrysler     ",7.854,"12.36",NA,NA
"30","Chrysler     ",32.775,"14.18",NA,NA
"31","Chrysler     ",31.148,"13.725",NA,NA
"32","Chrysler     ",32.306,"12.64",NA,NA
"33","Chrysler     ",13.462,"17.325",NA,NA
"34","Chrysler     ",53.48,"19.54",NA,NA
"35","Chrysler     ",30.696,".",NA,NA
"36","Dodge        ",76.034,"7.75",NA,NA
"37","Dodge        ",4.734,"12.545",NA,NA
"38","Dodge        ",71.186,"10.185",NA,NA
"39","Dodge        ",88.028,"12.275",NA,NA
"40","Dodge        ",0.916,"58.47",NA,NA
"41","Dodge        ",227.061,"15.06",NA,NA
"42","Dodge        ",16.767,"15.51",NA,NA
"43","Dodge        ",31.038,"13.425",NA,NA
"44","Dodge        ",111.313,"11.26",NA,NA
"45","Dodge        ",101.323,".",NA,NA
"46","Dodge        ",181.749,"12.025",NA,NA
"47","Ford         ",70.227,"7.425",NA,NA
"48","Ford         ",113.369,"12.76",NA,NA
"49","Ford         ",35.068,"8.835",NA,NA
"50","Ford         ",245.815,"10.055",NA,NA
"51","Ford         ",175.67,".",NA,NA
"52","Ford         ",63.403,"14.21",NA,NA
"53","Ford         ",276.747,"16.64",NA,NA
"54","Ford         ",155.787,"13.175",NA,NA
"55","Ford         ",125.338,"23.575",NA,NA
"56","Ford         ",220.65,"7.85",NA,NA
"57","Ford         ",540.561,"15.075",NA,NA
"58","Honda        ",199.685,"9.85",NA,NA
"59","Honda        ",230.902,"13.21",NA,NA
"60","Honda        ",73.203,"17.71",NA,NA
"61","Honda        ",12.855,"17.525",NA,NA
"62","Honda        ",76.029,"19.49",NA,NA
"63","Hyundai      ",41.184,"5.86",NA,NA
"64","Hyundai      ",66.692,"7.825",NA,NA
"65","Hyundai      ",29.45,"8.91",NA,NA
"66","Infiniti     ",23.713,"19.69",NA,NA
"67","Jaguar       ",15.467,".",NA,NA
"68","Jeep         ",55.557,"13.475",NA,NA
"69","Jeep         ",80.556,"13.775",NA,NA
"70","Jeep         ",157.04,"18.81",NA,NA
"71","Lexus        ",24.072,"26.975",NA,NA
"72","Lexus        ",12.698,"32.075",NA,NA
"73","Lexus        ",3.334,".",NA,NA
"74","Lexus        ",6.375,"40.375",NA,NA
"75","Lexus        ",9.126,".",NA,NA
"76","Lexus        ",51.238,".",NA,NA
"77","Lincoln      ",13.798,"20.525",NA,NA
"78","Lincoln      ",48.911,"21.725",NA,NA
"79","Lincoln      ",22.925,".",NA,NA
"80","Mitsubishi   ",26.232,"8.325",NA,NA
"81","Mitsubishi   ",42.541,"10.395",NA,NA
"82","Mitsubishi   ",55.616,"10.595",NA,NA
"83","Mitsubishi   ",5.711,"16.575",NA,NA
"84","Mitsubishi   ",0.11,"20.94",NA,NA
"85","Mitsubishi   ",11.337,"19.125",NA,NA
"86","Mitsubishi   ",39.348,"13.88",NA,NA
"87","Mercury      ",14.351,"8.8",NA,NA
"88","Mercury      ",26.529,"13.89",NA,NA
"89","Mercury      ",67.956,"11.03",NA,NA
"90","Mercury      ",81.174,"14.875",NA,NA
"91","Mercury      ",27.609,"20.43",NA,NA
"92","Mercury      ",20.38,"14.795",NA,NA
"93","Mercedes-Benz",18.392,"26.05",617,2000
"94","Mercedes-Benz",18.392,"26.05",617,2000
"95","Mercedes-Benz",18.392,"26.05",617,2000
"96","Mercedes-Benz",18.392,"26.05",617,2000
"97","Mercedes-Benz",18.392,"26.05",617,2000
"98","Mercedes-Benz",18.392,"26.05",617,2000
"99","Mercedes-Benz",18.392,"26.05",617,2232
"100","Mercedes-Benz",18.392,"26.05",617,2000
"101","Mercedes-Benz",18.392,"26.05",617,2000
"102","Mercedes-Benz",18.392,"26.05",617,2105
"103","Mercedes-Benz",18.392,"26.05",617,2199
